trial,overall_mape,overall_wmape,overall_epsilon_mape,context_length,hidden_size,dropout_rate,learning_rate,epochs,num_batches_per_epoch,batch_size,num_parallel_samples,prediction_path,cluster_1_mape,cluster_11_mape,cluster_1_wmape,cluster_11_wmape,cluster_1_epsilon_mape,cluster_11_epsilon_mape
7,9.301960940268353,8.945734286352765,9.299004649348328,504,128,0.05,0.0005,10,50,64,50,outputs/deepar_random_search_1_11/trial_07/deepar_clusters_1_11_validation_predictions.parquet,9.405956273453468,8.007439330917595,9.18073276827069,5.968047557786623,9.385229427674393,8.235565716660203
8,9.735734385305179,9.151205194037836,9.746721262772827,168,48,0.05,0.0005,5,100,64,50,outputs/deepar_random_search_1_11/trial_08/deepar_clusters_1_11_validation_predictions.parquet,9.888030504346403,7.839970305505683,9.439020369323403,5.504273432039915,9.866732146352645,8.266587031955051
3,9.685705532605065,9.230725707981009,9.674900164135689,336,128,0.1,0.001,10,100,64,50,outputs/deepar_random_search_1_11/trial_03/deepar_clusters_1_11_validation_predictions.parquet,9.809544807187693,8.144168887415633,9.479271342534275,6.081381799832706,9.785017961257386,8.316780666301383
1,9.698676250787786,9.276410130360896,9.688790697637087,168,96,0.2,0.001,10,50,64,50,outputs/deepar_random_search_1_11/trial_01/deepar_clusters_1_11_validation_predictions.parquet,9.841957274605052,7.915131010241348,9.560898734216105,5.671629651720067,9.820550892339407,8.063748296308475
4,9.81347305318851,9.456947083265229,9.81880806710245,504,128,0.05,0.0005,5,50,64,50,outputs/deepar_random_search_1_11/trial_04/deepar_clusters_1_11_validation_predictions.parquet,9.958859265785849,8.003722671660249,9.749827449397012,5.745833836189919,9.941855962379538,8.301217358685026
2,9.866520693273841,9.527439682687401,9.860615609743444,168,48,0.1,0.001,5,100,64,50,outputs/deepar_random_search_1_11/trial_02/deepar_clusters_1_11_validation_predictions.parquet,10.016451299749777,8.000202234149501,9.822666446146828,5.786595025751724,9.994428330054511,8.210258725906975
6,9.85978751921834,9.593708936152172,9.861438209205913,168,96,0.1,0.0002,10,50,64,50,outputs/deepar_random_search_1_11/trial_06/deepar_clusters_1_11_validation_predictions.parquet,9.995622562401227,8.168928965072071,9.87152154879558,6.073520537720353,9.979948828865533,8.399807233403934
5,11.133686703614524,10.341549836129603,11.11514295697505,168,128,0.3,0.001,5,100,64,50,outputs/deepar_random_search_1_11/trial_05/deepar_clusters_1_11_validation_predictions.parquet,11.297138977360776,9.099052129336082,10.584792691080938,7.259397921377632,11.265422505882636,9.261695187114817
