trial,overall_mape,overall_wmape,overall_epsilon_mape,context_length,hidden_size,dropout_rate,learning_rate,epochs,num_batches_per_epoch,batch_size,num_parallel_samples,prediction_path,cluster_2_mape,cluster_3_mape,cluster_2_wmape,cluster_3_wmape,cluster_2_epsilon_mape,cluster_3_epsilon_mape
7,7.2632469989753,6.213087784650419,7.683969241960215,504,128,0.05,0.0005,10,50,64,50,outputs/deepar_random_search_2_3/trial_07/deepar_clusters_2_3_validation_predictions.parquet,6.1184154854792245,13.246160407112903,5.684307949662026,8.486127841005377,6.403358569314784,14.376192757075055
3,7.158661700673277,6.3079773220425075,7.553068966131669,336,128,0.1,0.001,10,100,64,50,outputs/deepar_random_search_2_3/trial_03/deepar_clusters_2_3_validation_predictions.parquet,6.193130189368277,12.204549551301403,5.814527668689861,8.429145251771992,6.463395451773023,13.247491847618791
2,8.394817163707364,6.747770212899636,8.808057568569666,168,48,0.1,0.001,5,100,64,50,outputs/deepar_random_search_2_3/trial_02/deepar_clusters_2_3_validation_predictions.parquet,7.215105787173205,14.560013464816082,6.273686793096688,8.785689460121858,7.500078806065731,15.643301424235398
8,7.9981843756476785,6.939347747089615,8.409334325317497,168,48,0.05,0.0005,5,100,64,50,outputs/deepar_random_search_2_3/trial_08/deepar_clusters_2_3_validation_predictions.parquet,6.937115328139281,13.543353386510647,6.50531563819048,8.805100379834403,7.233806760201556,14.552413859149189
5,7.8885688949139965,7.156149108547479,8.27040885838172,168,128,0.3,0.001,5,100,64,50,outputs/deepar_random_search_2_3/trial_05/deepar_clusters_2_3_validation_predictions.parquet,7.140871014700526,11.796053638327813,6.937070991101438,8.09788951443231,7.406096406726899,12.787138444448832
4,9.166675980109307,7.286302880683921,9.5987021836331,504,128,0.05,0.0005,5,50,64,50,outputs/deepar_random_search_2_3/trial_04/deepar_clusters_2_3_validation_predictions.parquet,7.830812558193603,16.14792613281788,6.674568151738658,9.915937089005332,8.121288636217095,17.319379431419957
1,8.319132545044846,7.609014271471214,8.699319280305774,168,96,0.2,0.001,10,50,64,50,outputs/deepar_random_search_2_3/trial_01/deepar_clusters_2_3_validation_predictions.parquet,7.5021440397126335,12.588731542996575,7.222670591725606,9.269770982438862,7.77499834637219,13.529641580216762
6,8.82234152316728,7.855966144407485,9.219141638168646,168,96,0.1,0.0002,10,50,64,50,outputs/deepar_random_search_2_3/trial_06/deepar_clusters_2_3_validation_predictions.parquet,7.89181332907091,13.685301306749722,7.4270530784677335,9.699713797145565,8.174057441945324,14.68054937327115
