trial,overall_mape,overall_wmape,overall_epsilon_mape,context_length,hidden_size,dropout_rate,learning_rate,epochs,num_batches_per_epoch,batch_size,num_parallel_samples,prediction_path,cluster_7_mape,cluster_7_wmape,cluster_7_epsilon_mape
1,5.703176680394366,4.889144458326477,55.66989004988901,168,64,0.1,0.001,10,30,32,50,outputs/deepar_random_search_7/trial_01/deepar_clusters_7_validation_predictions.parquet,5.703176680394367,4.889144458326477,55.66989004988901
4,5.676154948625411,4.977045123759159,52.23974021145683,336,32,0.05,0.001,10,50,32,50,outputs/deepar_random_search_7/trial_04/deepar_clusters_7_validation_predictions.parquet,5.676154948625411,4.977045123759159,52.23974021145682
3,5.874044884325287,5.010893456311583,55.05844324430078,168,32,0.2,0.0005,10,50,32,50,outputs/deepar_random_search_7/trial_03/deepar_clusters_7_validation_predictions.parquet,5.874044884325287,5.010893456311583,55.058443244300754
7,5.894006545414674,5.254285689710537,52.77374413998213,168,32,0.05,0.001,5,50,32,50,outputs/deepar_random_search_7/trial_07/deepar_clusters_7_validation_predictions.parquet,5.894006545414674,5.254285689710537,52.77374413998213
2,6.695483268954511,5.800653641334557,56.658922765915165,168,48,0.05,0.001,10,30,64,50,outputs/deepar_random_search_7/trial_02/deepar_clusters_7_validation_predictions.parquet,6.695483268954512,5.800653641334557,56.65892276591518
6,6.745139711293067,5.963651045201206,56.108671614478624,168,64,0.2,0.001,10,50,32,50,outputs/deepar_random_search_7/trial_06/deepar_clusters_7_validation_predictions.parquet,6.745139711293067,5.963651045201206,56.108671614478624
5,6.739250381736644,5.988199259896463,51.79696997423965,168,64,0.05,0.0005,5,50,64,50,outputs/deepar_random_search_7/trial_05/deepar_clusters_7_validation_predictions.parquet,6.739250381736644,5.988199259896463,51.79696997423965
8,11.866294505591908,10.381764387442551,71.19727171473778,168,48,0.05,0.001,5,30,64,50,outputs/deepar_random_search_7/trial_08/deepar_clusters_7_validation_predictions.parquet,11.866294505591908,10.381764387442551,71.19727171473778
