cluster_kmeans,active_rate,avg_gap_hours,longest_zero_streak_hours,mean_hourly_load,median_hourly_load,p95_load,load_factor,cv,rolling_std_mean_ratio,ramp_volatility,acf_1,acf_24,acf_168,pacf_1,pacf_24,stl_daily_strength,stl_weekly_strength,dominant_period_hours,spectral_entropy,adf_pvalue,kpss_pvalue,adi,cv2,night_ratio,weekend_ratio,trend_slope,net_growth,active_hours,coverage_ratio,internal_missing_rate_before_fill,reliability_flag_code
0,1.0,1.0,0.0,507.4665092727915,533.8730772347637,747.8404655220784,0.6915496703219939,0.3098234688062669,0.30016251492956186,46.907097993597134,0.9013571292917475,0.9188380144812036,0.9243467287325858,0.8998266443139806,0.17878446171268186,0.9228282527898226,0.9344554548513624,24.0,0.27498944369202516,0.03835599076765539,0.01,1.0,0.09579199801872036,0.6270487944405828,1.0099705659797045,-0.002500755806259537,-23.95220015956147,1344.0,1.0,0.0,3.0
1,1.0,1.0,0.0,140427.45535714287,165250.0,247884.9999999998,0.5665024320033201,0.5285827880249637,0.5090760311270822,16845.867460908416,0.9312061857892915,0.964964555927617,0.9297995271038719,0.9302243629966603,0.07364609444108743,0.9613859750624585,0.9296348673473211,24.0,0.19860898970866883,0.060609378010987966,0.01,1.0,0.2793997637962437,0.44498328107199847,1.071351529326279,-37.403864820843516,-59447.0238095238,1344.0,1.0,0.0,3.0
2,0.5621279761904762,1.7848787232918215,17.5,113.44257270218402,62.8017911284787,418.24515567167447,0.34760616987179493,0.9919523437654026,1.0483996236263151,27.757698053621795,0.7888457027413964,0.5563478761081031,0.7524734503287192,0.7848114941787823,0.17462541031478715,0.4640669089869195,0.6224790921567072,96.0,0.5077997899876496,0.0038670993191468528,0.0820330945908797,1.7848787232918215,0.13803117298223677,2.358720592296062,1.9071634864615326,0.004440185695043186,18.10157454810217,1344.0,1.0,0.0,3.0
